%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15
1654092406053201648,0,-0.00534741747510302,-0.0026060670286744414,-0.005371898609203313,-0.0023407988495878773,-0.006182525970123642,-0.0021006825206043855,-0.005075844565590654,-0.002262928721668958,-0.004778247875171702,-0.0020383730039491774,-0.005206365899725285,-0.0018248170286744511,-0.0053093878777472625,-0.0015482137491414833,-0.005511206322973861,-0.0022101433722527264
1654092406142357844,0,-0.010631787645947799,-0.005443329863495883,-0.010749900734031592,-0.004809100811298067,-0.012285907451923095,-0.0042055905520261005,-0.00993209671188186,-0.00464014745020605,-0.009418663611778847,-0.00475229116586539,-0.01018368228451233,-0.00371006556919643,-0.010623202481112648,-0.0031728220509958794,-0.01086989182692305,-0.004393323961195045
1654092406187797584,0,-0.015512453854739011,-0.0080290741972871,-0.015875042925824173,-0.007326566256009581,-0.018195183722527486,-0.006430422604739,-0.01471497252747253,-0.007171429644574179,-0.01407242659684066,-0.0073794186770261005,-0.01496146065848214,-0.0057499141483516505,-0.015801264165521967,-0.004984090616414836,-0.015958211710164816,-0.006673557155734894
1654092406209132494,0,-0.020384467827094778,-0.010709993131868129,-0.02091768704927885,-0.009856439946771961,-0.02395663418612637,-0.008606426532451916,-0.019386777773008235,-0.00954563015109891,-0.018441336495535712,-0.009870793269230772,-0.019700471647493112,-0.007872126652644232,-0.020857121394230793,-0.0067659147493131875,-0.02088857797475957,-0.009012142642513737
1654092406249520593,0,-0.02517378251631181,-0.013290170522836542,-0.025613168569711547,-0.01219147063873624,-0.0292650830614698,-0.010821868561126352,-0.023994730855082413,-0.012034321879292584,-0.02280729524381868,-0.012361765431833791,-0.02425087729653158,-0.00984181833791209,-0.025733763307005497,-0.008453570355425825,-0.02572846465058376,-0.011159506996909319
1654092406339747827,0,-0.029763827481112635,-0.015177162924965654,-0.030405233194539832,-0.014232593578296676,-0.03467588319883241,-0.012657752403846145,-0.028284429193853017,-0.01404009808550824,-0.02696915511246566,-0.014502757984203297,-0.028725357894059056,-0.011411293784340661,-0.030567345252403844,-0.009966336763822116,-0.030590484954498592,-0.01305072490985576
1654092406383709470,0,-0.034410011375343406,-0.016963816213083793,-0.035044508713942324,-0.015927157559237626,-0.0397923731541896,-0.014074170458447804,-0.03254139659168956,-0.015731643844436816,-0.03114114279275412,-0.016298398866758244,-0.03309057885473898,-0.012774859417925825,-0.03529186877575552,-0.011056719769488325,-0.03512546413547388,-0.014586731627747235
1654092406419633862,0,-0.038553091195913464,-0.018289620535714285,-0.03949973976219093,-0.017173280820741738,-0.04483132833962916,-0.015200235555460156,-0.036699030949519235,-0.01689439710679945,-0.035252296531593404,-0.017676116608001377,-0.037562309516655235,-0.013845724587912089,-0.039856761890453285,-0.011906282194368132,-0.0396322061727335,-0.01567027333018542
1654092406448261368,0,-0.04291837922819368,-0.019113192715487615,-0.0437216287130838,-0.01800865760216344,-0.04980656550480772,-0.01603977077609889,-0.04107048956902472,-0.01777155949519231,-0.039433204734718404,-0.018515651828640112,-0.041838593535370894,-0.014513087010645605,-0.04441508198832417,-0.012428266923506182,-0.04398112873454668,-0.01644582224416208
1654092406501982609,0,-0.04725046681833791,-0.019410386976304927,-0.04802829616672391,-0.01842926360748623,-0.054645379035027475,-0.016601428356799453,-0.04516541198059752,-0.018229189023866763,-0.04360847892342033,-0.01908508971497253,-0.04616679097269916,-0.01490719973385989,-0.0489911089886676,-0.012625356820913461,-0.04833595359718404,-0.016841008112980754
