%time,field0,field1
1653385396157047969,2829.0,100.0
1653385396236073597,2829.0,100.0
1653385396319166912,2829.0,100.0
1653385396399740257,2832.0,100.0
1653385396479797587,2832.0,100.0
1653385396559110158,2832.0,100.0
1653385396640347263,2832.0,100.0
1653385396734906719,2661.0,100.0
1653385396814883172,2661.0,100.0
1653385396896904979,2661.0,100.0
1653385396976900266,2661.0,100.0
1653385397070425654,2569.0,100.0
1653385397137418621,2569.0,100.0
1653385397229698479,2569.0,100.0
1653385397296323189,2569.0,100.0
1653385397390389160,2525.0,100.0
1653385397474256528,2525.0,100.0
1653385397549626060,2525.0,100.0
1653385397632404173,2525.0,100.0
1653385397709606579,2484.0,100.0
1653385397791862136,2484.0,100.0
1653385397874684013,2484.0,100.0
1653385397953353714,2484.0,100.0
1653385398047626894,2445.0,100.0
1653385398109789246,2445.0,100.0
1653385398206269735,2445.0,100.0
1653385398291314587,2445.0,100.0
1653385398370334490,2424.0,100.0
1653385398446341946,2424.0,100.0
1653385398527804668,2424.0,100.0
1653385398607371547,2424.0,100.0
1653385398703282547,2386.0,100.0
1653385398767327608,2386.0,100.0
1653385398865626695,2386.0,100.0
1653385398930801998,2386.0,100.0
1653385399028937951,2348.0,100.0
1653385399105221339,2348.0,100.0
1653385399185115831,2348.0,100.0
1653385399266433193,2348.0,100.0
1653385399361836100,2326.0,100.0
1653385399425570034,2326.0,100.0
1653385399518471344,2326.0,100.0
1653385399583464025,2326.0,100.0
1653385399684667353,2287.0,100.0
1653385399760128775,2287.0,100.0
1653385399841700836,2287.0,100.0
1653385399919746332,2287.0,100.0
1653385400015106694,2247.0,100.0
1653385400131323600,2247.0,100.0
1653385400213253735,2247.0,100.0
1653385400308742949,2206.0,100.0
1653385400430193598,2206.0,100.0
1653385400494228112,2206.0,100.0
1653385400591996949,2045.0,83.0
1653385400674741316,2045.0,83.0
1653385400755722408,2045.0,83.0
1653385400832335736,2045.0,83.0
1653385400911839785,2035.0,100.0
1653385400991243736,2035.0,100.0
1653385401071606736,2035.0,100.0
1653385401153215385,2035.0,100.0
1653385401249179459,2025.0,100.0
1653385401311219100,2025.0,100.0
1653385401407300048,2025.0,100.0
1653385401475539741,2025.0,100.0
1653385401566993296,2017.0,100.0
1653385401652104914,2017.0,100.0
1653385401727751057,2017.0,100.0
1653385401812316954,2017.0,100.0
1653385401906943370,2008.0,100.0
1653385401969361004,2008.0,100.0
1653385402046851668,2008.0,100.0
1653385402131848335,2008.0,100.0
1653385402226377184,2001.0,100.0
1653385402290425777,2001.0,100.0
1653385402385835925,2001.0,100.0
1653385402515705802,1990.0,100.0
1653385402578298569,1990.0,100.0
1653385402672315712,1990.0,100.0
1653385402740259648,1990.0,100.0
1653385402835722716,1982.0,100.0
1653385402911120347,1982.0,100.0
1653385402991735554,1982.0,100.0
1653385403073737884,1982.0,100.0
1653385403167406030,1976.0,100.0
1653385403232473468,1976.0,100.0
1653385403317499286,1976.0,100.0
1653385403396018906,1976.0,100.0
1653385403490804095,1970.0,100.0
1653385403555380380,1970.0,100.0
1653385403649949873,1970.0,100.0
1653385403713813177,1970.0,100.0
1653385403808626656,1965.0,100.0
1653385403889257536,1965.0,100.0
1653385403969419405,1965.0,100.0
1653385404049972779,1965.0,100.0
1653385404133250814,1960.0,100.0
1653385404213279587,1960.0,100.0
1653385404293659549,1960.0,100.0
1653385404369713241,1960.0,100.0
1653385404464631476,1955.0,100.0
1653385404529147262,1955.0,100.0
1653385404629138774,1955.0,100.0
1653385404758443738,1951.0,100.0
1653385404820905010,1951.0,100.0
1653385404913277357,1951.0,100.0
1653385404978110733,1951.0,100.0
1653385405076086804,1947.0,100.0
1653385405155355289,1947.0,100.0
1653385405234186303,1947.0,100.0
1653385405312601228,1947.0,100.0
1653385405398056125,1942.0,100.0
1653385405473046492,1942.0,100.0
1653385405552558956,1942.0,100.0
1653385405637666281,1942.0,100.0
1653385405731798904,1937.0,100.0
1653385405797383954,1937.0,100.0
1653385405891271459,1937.0,100.0
1653385405955557857,1937.0,100.0
1653385406051812335,1933.0,100.0
1653385406131952075,1933.0,100.0
1653385406211613624,1933.0,100.0
1653385406291175912,1933.0,100.0
1653385406372151307,1930.0,100.0
1653385406452187051,1930.0,100.0
1653385406531170756,1930.0,100.0
1653385406614325046,1930.0,100.0
1653385406707898341,1925.0,100.0
1653385406818929277,1925.0,100.0
1653385406898528900,1925.0,100.0
1653385406996084968,1919.0,100.0
1653385407057838849,1919.0,100.0
1653385407154958429,1919.0,100.0
1653385407217516470,1919.0,100.0
1653385407317452870,1913.0,100.0
1653385407395590710,1913.0,100.0
1653385407474415689,1913.0,100.0
1653385407556934141,1913.0,100.0
1653385407635087455,1906.0,100.0
1653385407714275787,1906.0,100.0
1653385407795582060,1906.0,100.0
1653385407874888362,1906.0,100.0
1653385407972176180,1898.0,100.0
1653385408036191289,1898.0,100.0
1653385408134368193,1898.0,100.0
1653385408194561458,1898.0,100.0
1653385408294623829,1893.0,100.0
1653385408372324449,1893.0,100.0
1653385408453121228,1893.0,100.0
1653385408530750007,1893.0,100.0
1653385408611594217,1884.0,100.0
1653385408692493270,1884.0,100.0
1653385408774590904,1884.0,100.0
1653385408851611438,1884.0,100.0
1653385408945015423,1875.0,100.0
1653385409017628323,1875.0,100.0
1653385409107182880,1875.0,100.0
1653385409170215723,1875.0,100.0
1653385409270903339,1867.0,100.0
1653385409349425919,1867.0,100.0
1653385409430323616,1867.0,100.0
1653385409509966523,1867.0,100.0
1653385409607938204,1855.0,100.0
1653385409716198154,1855.0,100.0
1653385409795694853,1855.0,100.0
1653385409890379040,1842.0,100.0
1653385409954519667,1842.0,100.0
1653385410051181770,1842.0,100.0
1653385410118546439,1842.0,100.0
1653385410214357331,1830.0,100.0
1653385410294716851,1830.0,100.0
1653385410375634991,1830.0,100.0
1653385410454831338,1830.0,100.0
1653385410535251532,1817.0,100.0
1653385410615905406,1817.0,100.0
1653385410693070200,1817.0,100.0
1653385410773042400,1817.0,100.0
1653385410868503245,1802.0,100.0
1653385410933578025,1802.0,100.0
1653385411028822229,1802.0,100.0
1653385411161060133,1786.0,100.0
1653385411220787850,1786.0,100.0
1653385411316015369,1786.0,100.0
1653385411380408334,1786.0,100.0
1653385411476268327,1770.0,100.0
1653385411555383213,1770.0,100.0
1653385411637519990,1770.0,100.0
1653385411716469508,1770.0,100.0
1653385411812587392,1754.0,100.0
1653385411874763900,1754.0,100.0
1653385411969928402,1754.0,100.0
1653385412103238500,1737.0,100.0
1653385412214828800,1737.0,100.0
1653385412296612809,1737.0,100.0
1653385412389956523,1719.0,100.0
1653385412450418084,1719.0,100.0
1653385412547085536,1719.0,100.0
1653385412612878866,1719.0,100.0
1653385412712797557,1698.0,100.0
1653385412791719195,1698.0,100.0
1653385412868827887,1698.0,100.0
1653385412947843130,1698.0,100.0
1653385413031506311,1680.0,100.0
1653385413111903858,1680.0,100.0
