%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1653385397268930004,1500,1500,1413,1431,1520,1500,1500,1500
1653385397274954041,1500,1500,1413,1431,1520,1500,1500,1500
1653385397297637062,1500,1500,1413,1431,1520,1500,1500,1500
1653385397302438810,1500,1500,1413,1432,1520,1500,1500,1500
1653385397308505248,1500,1500,1413,1432,1520,1500,1500,1500
1653385397334849574,1500,1500,1413,1432,1520,1500,1500,1500
1653385397341865285,1500,1500,1413,1432,1520,1500,1500,1500
1653385397371004093,1500,1500,1413,1432,1520,1500,1500,1500
1653385397371040056,1500,1500,1414,1432,1520,1500,1500,1500
1653385397392963978,1500,1500,1414,1432,1519,1500,1500,1500
1653385397400800783,1500,1500,1414,1433,1519,1500,1500,1500
1653385397406419704,1500,1500,1413,1433,1519,1500,1500,1500
1653385397434249782,1500,1500,1413,1433,1519,1500,1500,1500
1653385397440627637,1500,1500,1413,1433,1519,1500,1500,1500
1653385397466646208,1500,1500,1413,1434,1519,1500,1500,1500
1653385397472812634,1500,1500,1413,1434,1519,1500,1500,1500
1653385397475938629,1500,1500,1413,1434,1519,1500,1500,1500
1653385397500997308,1500,1500,1413,1434,1519,1500,1500,1500
1653385397502187590,1500,1500,1414,1434,1519,1500,1500,1500
1653385397532869053,1500,1500,1414,1435,1519,1500,1500,1500
1653385397538791823,1500,1500,1414,1435,1519,1500,1500,1500
1653385397552157617,1500,1500,1414,1435,1519,1500,1500,1500
1653385397569510686,1500,1500,1414,1435,1519,1500,1500,1500
1653385397575555165,1500,1500,1415,1435,1519,1500,1500,1500
1653385397596502137,1500,1500,1415,1435,1519,1500,1500,1500
1653385397606878227,1500,1500,1414,1435,1519,1500,1500,1500
1653385397632646605,1500,1500,1414,1436,1519,1500,1500,1500
1653385397635087382,1500,1500,1414,1436,1519,1500,1500,1500
1653385397639822285,1500,1500,1414,1436,1519,1500,1500,1500
1653385397664802239,1500,1500,1414,1436,1519,1500,1500,1500
1653385397670077130,1500,1500,1414,1436,1519,1500,1500,1500
1653385397698302867,1500,1500,1414,1437,1519,1500,1500,1500
1653385397702847319,1500,1500,1413,1437,1519,1500,1500,1500
1653385397712749249,1500,1500,1413,1437,1519,1500,1500,1500
1653385397730355975,1500,1500,1413,1437,1519,1500,1500,1500
1653385397736393825,1500,1500,1413,1437,1519,1500,1500,1500
1653385397764836969,1500,1500,1413,1437,1519,1500,1500,1500
1653385397770720240,1500,1500,1413,1437,1519,1500,1500,1500
1653385397792886653,1500,1500,1413,1437,1519,1500,1500,1500
1653385397797830990,1500,1500,1413,1438,1519,1500,1500,1500
1653385397803965406,1500,1500,1413,1438,1519,1500,1500,1500
1653385397829999563,1500,1500,1413,1438,1519,1500,1500,1500
1653385397832748126,1500,1500,1414,1438,1519,1500,1500,1500
1653385397861988958,1500,1500,1414,1439,1519,1500,1500,1500
1653385397869744440,1500,1500,1414,1439,1519,1500,1500,1500
1653385397875594489,1500,1500,1414,1439,1519,1500,1500,1500
1653385397898355777,1500,1500,1414,1439,1519,1500,1500,1500
1653385397902318056,1500,1500,1413,1439,1519,1500,1500,1500
1653385397928696664,1500,1500,1413,1439,1519,1500,1500,1500
1653385397930887058,1500,1500,1413,1439,1519,1500,1500,1500
1653385397956030818,1500,1500,1413,1439,1519,1500,1500,1500
1653385397962783664,1500,1500,1413,1439,1519,1500,1500,1500
1653385397968942297,1500,1500,1413,1439,1519,1500,1500,1500
1653385397994871707,1500,1500,1413,1440,1519,1500,1500,1500
1653385398003202200,1500,1500,1413,1440,1519,1500,1500,1500
1653385398029038914,1500,1500,1413,1440,1519,1500,1500,1500
1653385398031167027,1500,1500,1413,1440,1519,1500,1500,1500
1653385398050202876,1500,1500,1413,1440,1518,1500,1500,1500
1653385398063444692,1500,1500,1413,1440,1518,1500,1500,1500
1653385398065336754,1500,1500,1412,1440,1518,1500,1500,1500
1653385398094957798,1500,1500,1412,1440,1518,1500,1500,1500
1653385398101006253,1500,1500,1412,1440,1518,1500,1500,1500
1653385398112650327,1500,1500,1412,1440,1518,1500,1500,1500
1653385398128273426,1500,1500,1412,1440,1518,1500,1500,1500
1653385398130543404,1500,1500,1412,1440,1518,1500,1500,1500
1653385398159962236,1500,1500,1412,1440,1518,1500,1500,1500
1653385398163120538,1500,1500,1413,1440,1518,1500,1500,1500
1653385398192782254,1500,1500,1413,1440,1518,1500,1500,1500
1653385398198677950,1500,1500,1412,1440,1518,1500,1500,1500
1653385398209473532,1500,1500,1412,1440,1518,1500,1500,1500
1653385398229223793,1500,1500,1412,1440,1518,1500,1500,1500
1653385398231531140,1500,1500,1412,1440,1518,1500,1500,1500
1653385398258154696,1500,1500,1412,1440,1518,1500,1500,1500
1653385398261810979,1500,1500,1412,1440,1518,1500,1500,1500
1653385398294456284,1500,1500,1412,1440,1518,1500,1500,1500
1653385398294762998,1500,1500,1412,1440,1518,1500,1500,1500
1653385398299425392,1500,1500,1412,1440,1518,1500,1500,1500
1653385398325101881,1500,1500,1412,1440,1518,1500,1500,1500
1653385398329838470,1500,1500,1412,1440,1518,1500,1500,1500
1653385398358368389,1500,1500,1412,1440,1518,1500,1500,1500
1653385398363144594,1500,1500,1412,1440,1518,1500,1500,1500
1653385398373901938,1500,1500,1412,1440,1518,1500,1500,1500
1653385398390995122,1500,1500,1412,1440,1518,1500,1500,1500
1653385398399612487,1500,1500,1412,1440,1518,1500,1500,1500
1653385398424570410,1500,1500,1412,1440,1518,1500,1500,1500
1653385398430829503,1500,1500,1412,1440,1518,1500,1500,1500
1653385398447677069,1500,1500,1412,1440,1518,1500,1500,1500
1653385398457396809,1500,1500,1412,1440,1518,1500,1500,1500
1653385398463969343,1500,1500,1412,1440,1518,1500,1500,1500
1653385398490858241,1500,1500,1412,1440,1518,1500,1500,1500
1653385398496578275,1500,1500,1412,1440,1518,1500,1500,1500
1653385398522243783,1500,1500,1412,1439,1518,1500,1500,1500
1653385398526688420,1500,1500,1412,1439,1518,1500,1500,1500
1653385398530824428,1500,1500,1412,1439,1518,1500,1500,1500
1653385398558434964,1500,1500,1412,1439,1518,1500,1500,1500
1653385398560890325,1500,1500,1413,1439,1518,1500,1500,1500
1653385398588645389,1500,1500,1413,1439,1518,1500,1500,1500
1653385398595905313,1500,1500,1413,1439,1518,1500,1500,1500
1653385398610260295,1500,1500,1413,1439,1518,1500,1500,1500
1653385398621896481,1500,1500,1413,1439,1518,1500,1500,1500
1653385398628854462,1500,1500,1413,1439,1518,1500,1500,1500
1653385398654539173,1500,1500,1413,1439,1518,1500,1500,1500
1653385398660516319,1500,1500,1413,1439,1518,1500,1500,1500
1653385398687537574,1500,1500,1413,1439,1518,1500,1500,1500
1653385398691870219,1500,1500,1413,1439,1518,1500,1500,1500
1653385398706541662,1500,1500,1413,1439,1518,1500,1500,1500
1653385398719669675,1500,1500,1413,1439,1518,1500,1500,1500
1653385398723123357,1500,1500,1413,1439,1518,1500,1500,1500
1653385398754444038,1500,1500,1413,1439,1518,1500,1500,1500
1653385398758778795,1500,1500,1413,1439,1518,1500,1500,1500
1653385398768333443,1500,1500,1413,1439,1518,1500,1500,1500
1653385398791157367,1500,1500,1413,1439,1518,1500,1500,1500
1653385398796552307,1500,1500,1413,1439,1518,1500,1500,1500
1653385398819484028,1500,1500,1413,1439,1518,1500,1500,1500
1653385398825497571,1500,1500,1413,1439,1518,1500,1500,1500
1653385398851328656,1500,1500,1413,1439,1518,1500,1500,1500
1653385398858603418,1500,1500,1412,1439,1518,1500,1500,1500
1653385398868747378,1500,1500,1412,1439,1518,1500,1500,1500
1653385398887192914,1500,1500,1412,1439,1518,1500,1500,1500
1653385398891203019,1500,1500,1412,1439,1518,1500,1500,1500
1653385398919343702,1500,1500,1412,1439,1518,1500,1500,1500
1653385398927329723,1500,1500,1412,1439,1518,1500,1500,1500
1653385398933725244,1500,1500,1412,1439,1518,1500,1500,1500
1653385398951594767,1500,1500,1412,1439,1518,1500,1500,1500
1653385398956081488,1500,1500,1413,1439,1518,1500,1500,1500
1653385398984286057,1500,1500,1413,1439,1518,1500,1500,1500
1653385398990575875,1500,1500,1413,1439,1518,1500,1500,1500
1653385399018186376,1500,1500,1413,1439,1518,1500,1500,1500
1653385399025753393,1500,1500,1413,1439,1518,1500,1500,1500
1653385399033168473,1500,1500,1413,1439,1517,1500,1500,1500
1653385399049291944,1500,1500,1413,1439,1517,1500,1500,1500
1653385399056412960,1500,1500,1414,1439,1517,1500,1500,1500
1653385399084860163,1500,1500,1414,1439,1517,1500,1500,1500
1653385399092425082,1500,1500,1414,1439,1517,1500,1500,1500
1653385399107254416,1500,1500,1414,1439,1517,1500,1500,1500
1653385399118076948,1500,1500,1414,1439,1517,1500,1500,1500
1653385399120660338,1500,1500,1414,1439,1517,1500,1500,1500
1653385399148928068,1500,1500,1414,1439,1517,1500,1500,1500
1653385399152619950,1500,1500,1414,1439,1517,1500,1500,1500
1653385399182200906,1500,1500,1414,1439,1517,1500,1500,1500
1653385399188889584,1500,1500,1414,1439,1517,1500,1500,1500
1653385399189843915,1500,1500,1415,1439,1517,1500,1500,1500
1653385399218445659,1500,1500,1415,1438,1517,1500,1500,1500
1653385399225807439,1500,1500,1415,1438,1517,1500,1500,1500
1653385399248017527,1500,1500,1415,1438,1517,1500,1500,1500
1653385399250939922,1500,1500,1415,1438,1517,1500,1500,1500
1653385399269986117,1500,1500,1415,1438,1517,1500,1500,1500
1653385399281166801,1500,1500,1415,1438,1517,1500,1500,1500
1653385399285914028,1500,1500,1415,1438,1517,1500,1500,1500
1653385399314245406,1500,1500,1415,1438,1517,1500,1500,1500
1653385399320888701,1500,1500,1415,1438,1517,1500,1500,1500
1653385399351598227,1500,1500,1415,1438,1517,1500,1500,1500
1653385399351641472,1500,1500,1415,1438,1517,1500,1500,1500
1653385399363298711,1500,1500,1415,1438,1517,1500,1500,1500
1653385399381358977,1500,1500,1415,1439,1517,1500,1500,1500
1653385399387616488,1500,1500,1415,1439,1517,1500,1500,1500
1653385399414192530,1500,1500,1415,1439,1517,1500,1500,1500
1653385399420803328,1500,1500,1414,1439,1517,1500,1500,1500
