%time,field0,field1
1653386137521365082,1915.0,100.0
1653386137613596847,1914.0,100.0
1653386137677674110,1914.0,100.0
1653386137772790060,1914.0,100.0
1653386137837258943,1914.0,100.0
1653386137936045302,1914.0,100.0
1653386138017101064,1914.0,100.0
1653386138094764000,1914.0,100.0
1653386138177107573,1914.0,100.0
1653386138255957979,1913.0,100.0
1653386138333782083,1913.0,100.0
1653386138416185795,1913.0,100.0
1653386138495623819,1913.0,100.0
1653386138593217547,1913.0,100.0
1653386138658191855,1913.0,100.0
1653386138753860408,1913.0,100.0
1653386138883096426,1914.0,100.0
1653386138943156283,1914.0,100.0
1653386139040878285,1914.0,100.0
1653386139171705787,1915.0,100.0
1653386139295485774,1915.0,100.0
1653386139360449407,1915.0,100.0
1653386139453761033,1916.0,100.0
1653386139533705561,1916.0,100.0
1653386139615538370,1916.0,100.0
1653386139682192546,1916.0,100.0
1653386139776070526,1916.0,100.0
1653386139856948523,1916.0,100.0
1653386139934189018,1916.0,100.0
1653386140013134276,1916.0,100.0
1653386140114152227,1916.0,100.0
1653386140226238598,1916.0,100.0
1653386140306309733,1916.0,100.0
1653386140402521340,1917.0,100.0
1653386140511931024,1917.0,100.0
1653386140595002863,1917.0,100.0
1653386140690695480,1918.0,100.0
1653386140753894973,1918.0,100.0
1653386140851611059,1918.0,100.0
1653386140912451331,1918.0,100.0
1653386141007823299,1919.0,100.0
1653386141089074208,1919.0,100.0
1653386141168924406,1919.0,100.0
1653386141251046217,1919.0,100.0
1653386141328980413,1921.0,100.0
1653386141407796561,1921.0,100.0
1653386141489605051,1921.0,100.0
1653386141567707266,1921.0,100.0
1653386141662754934,1924.0,100.0
1653386141742708206,1924.0,100.0
1653386141823871295,1924.0,100.0
1653386141902989223,1924.0,100.0
1653386141987043263,1926.0,100.0
1653386142063926008,1926.0,100.0
1653386142145202307,1926.0,100.0
1653386142227148137,1926.0,100.0
1653386142322655700,1928.0,100.0
1653386142384529972,1928.0,100.0
1653386142482940618,1928.0,100.0
1653386142547815444,1928.0,100.0
1653386142642680752,1930.0,100.0
1653386142721403941,1930.0,100.0
1653386142803152729,1930.0,100.0
1653386142882964332,1930.0,100.0
1653386142977631566,1931.0,100.0
1653386143045363887,1931.0,100.0
1653386143136424198,1931.0,100.0
1653386143204586940,1931.0,100.0
1653386143301121761,1945.0,100.0
1653386143376652279,1945.0,100.0
1653386143457899212,1945.0,100.0
1653386143525319802,1945.0,100.0
1653386143616715757,1943.0,100.0
1653386143698646438,1943.0,100.0
1653386143780862351,1943.0,100.0
1653386143856909376,1943.0,100.0
1653386143952155092,1941.0,100.0
1653386144020552604,1941.0,100.0
1653386144113723377,1941.0,100.0
1653386144181250805,1941.0,100.0
1653386144273364909,1938.0,100.0
1653386144338006186,1938.0,100.0
1653386144434218299,1938.0,100.0
1653386144501481774,1938.0,100.0
1653386144596362663,1935.0,100.0
1653386144673013326,1935.0,100.0
1653386144754457311,1935.0,100.0
1653386144837051511,1935.0,100.0
1653386144931807386,1930.0,100.0
1653386144995153292,1930.0,100.0
1653386145092598692,1930.0,100.0
1653386145153323522,1930.0,100.0
1653386145250595434,1926.0,100.0
1653386145329254639,1926.0,100.0
1653386145418446867,1926.0,100.0
1653386145492822628,1926.0,100.0
1653386145569827716,1927.0,100.0
1653386145637564444,1927.0,100.0
1653386145731705496,1927.0,100.0
1653386145811814987,1927.0,100.0
1653386145911452251,1920.0,100.0
1653386145973855024,1920.0,100.0
1653386146065967524,1920.0,100.0
1653386146128942045,1920.0,100.0
1653386146227021839,1912.0,100.0
1653386146308924627,1912.0,100.0
1653386146388247649,1912.0,100.0
1653386146453838006,1912.0,100.0
1653386146545743684,1904.0,100.0
1653386146627735506,1904.0,100.0
1653386146706472948,1904.0,100.0
1653386146787125688,1904.0,100.0
1653386146885273257,1894.0,100.0
1653386146946972608,1894.0,100.0
1653386147045263926,1894.0,100.0
1653386147109302814,1894.0,100.0
1653386147202824263,1883.0,100.0
1653386147284135689,1883.0,100.0
1653386147362867273,1883.0,100.0
1653386147443205896,1883.0,100.0
1653386147526949485,1871.0,100.0
1653386147601560560,1871.0,100.0
1653386147686401400,1871.0,100.0
1653386147762602051,1871.0,100.0
1653386147862819861,1867.0,100.0
1653386147923773613,1867.0,100.0
1653386148020155432,1867.0,100.0
1653386148089065027,1867.0,100.0
1653386148182864237,1869.0,100.0
1653386148261147307,1869.0,100.0
1653386148340137016,1869.0,100.0
1653386148422563506,1869.0,100.0
1653386148501463039,1852.0,100.0
1653386148581735030,1852.0,100.0
1653386148661567619,1852.0,100.0
1653386148743736617,1852.0,100.0
1653386148838094161,1835.0,100.0
1653386148900940821,1835.0,100.0
1653386148995292072,1835.0,100.0
1653386149063624346,1835.0,100.0
1653386149157619344,1817.0,100.0
1653386149238230199,1817.0,100.0
1653386149317078352,1817.0,100.0
1653386149396775274,1817.0,100.0
1653386149476348472,1799.0,100.0
1653386149557354922,1799.0,100.0
1653386149640235873,1799.0,100.0
1653386149719643612,1799.0,100.0
1653386149814691701,1770.0,100.0
1653386149877295510,1770.0,100.0
1653386149973693731,1770.0,100.0
1653386150039611512,1770.0,100.0
1653386150134847393,1751.0,100.0
1653386150213678055,1751.0,100.0
1653386150292600525,1751.0,100.0
1653386150374865576,1751.0,100.0
1653386150453994007,1732.0,100.0
1653386150534312872,1732.0,100.0
1653386150617157821,1732.0,100.0
1653386150690950094,1732.0,100.0
1653386150790104995,1711.0,100.0
1653386150854557018,1711.0,100.0
1653386150951913534,1711.0,100.0
1653386151014365651,1711.0,100.0
1653386151107300018,1690.0,100.0
1653386151187766783,1690.0,100.0
