%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1653386138609294539,1500,1500,1408,1448,1513,1500,1500,1500
1653386138620424626,1500,1500,1408,1448,1513,1500,1500,1500
1653386138641254502,1500,1500,1408,1448,1513,1500,1500,1500
1653386138648280850,1500,1500,1409,1448,1513,1500,1500,1500
1653386138661393616,1500,1500,1409,1448,1513,1500,1500,1500
1653386138674618554,1500,1500,1409,1448,1513,1500,1500,1500
1653386138678803440,1500,1500,1409,1448,1513,1500,1500,1500
1653386138707338810,1500,1500,1409,1448,1513,1500,1500,1500
1653386138712426094,1500,1500,1409,1448,1513,1500,1500,1500
1653386138741725317,1500,1500,1409,1448,1513,1500,1500,1500
1653386138747964895,1500,1500,1409,1448,1513,1500,1500,1500
1653386138755839616,1500,1500,1409,1448,1513,1500,1500,1500
1653386138774230680,1500,1500,1409,1448,1513,1500,1500,1500
1653386138778628753,1500,1500,1408,1448,1513,1500,1500,1500
1653386138807483870,1500,1500,1408,1447,1513,1500,1500,1500
1653386138812835685,1500,1500,1408,1447,1513,1500,1500,1500
1653386138838870964,1500,1500,1408,1447,1513,1500,1500,1500
1653386138842906981,1500,1500,1409,1447,1513,1500,1500,1500
1653386138874621396,1500,1500,1409,1447,1513,1500,1500,1500
1653386138878880145,1500,1500,1409,1447,1513,1500,1500,1500
1653386138885302238,1500,1500,1409,1447,1513,1500,1500,1500
1653386138906958459,1500,1500,1409,1447,1513,1500,1500,1500
1653386138911976473,1500,1500,1409,1447,1513,1500,1500,1500
1653386138937882107,1500,1500,1409,1447,1513,1500,1500,1500
1653386138941981956,1500,1500,1409,1447,1513,1500,1500,1500
1653386138944249389,1500,1500,1409,1447,1513,1500,1500,1500
1653386138969504942,1500,1500,1409,1447,1513,1500,1500,1500
1653386138976901236,1500,1500,1410,1447,1513,1500,1500,1500
1653386139006003004,1500,1500,1410,1447,1513,1500,1500,1500
1653386139010390584,1500,1500,1410,1447,1513,1500,1500,1500
1653386139035589685,1500,1500,1410,1447,1513,1500,1500,1500
1653386139041018391,1500,1500,1410,1447,1513,1500,1500,1500
1653386139042845116,1500,1500,1410,1447,1513,1500,1500,1500
1653386139069501830,1500,1500,1410,1447,1513,1500,1500,1500
1653386139075403607,1500,1500,1410,1447,1513,1500,1500,1500
1653386139103631387,1500,1500,1410,1447,1513,1500,1500,1500
1653386139110838970,1500,1500,1409,1447,1513,1500,1500,1500
1653386139135957440,1500,1500,1409,1447,1513,1500,1500,1500
1653386139139173671,1500,1500,1410,1447,1513,1500,1500,1500
1653386139172587569,1500,1500,1410,1447,1513,1500,1500,1500
1653386139172681435,1500,1500,1410,1447,1513,1500,1500,1500
1653386139176374671,1500,1500,1410,1447,1513,1500,1500,1500
1653386139202519348,1500,1500,1410,1447,1513,1500,1500,1500
1653386139208036942,1500,1500,1410,1447,1513,1500,1500,1500
1653386139235840810,1500,1500,1410,1446,1513,1500,1500,1500
1653386139239357257,1500,1500,1410,1446,1513,1500,1500,1500
1653386139268366649,1500,1500,1410,1446,1513,1500,1500,1500
1653386139270710267,1500,1500,1410,1446,1513,1500,1500,1500
1653386139295670695,1500,1500,1410,1446,1513,1500,1500,1500
1653386139299485504,1500,1500,1410,1446,1513,1500,1500,1500
1653386139306250888,1500,1500,1410,1446,1513,1500,1500,1500
1653386139335741579,1500,1500,1410,1446,1513,1500,1500,1500
1653386139338459486,1500,1500,1410,1446,1513,1500,1500,1500
1653386139360492031,1500,1500,1410,1446,1513,1500,1500,1500
1653386139367660066,1500,1500,1410,1446,1513,1500,1500,1500
1653386139374480209,1500,1500,1410,1446,1513,1500,1500,1500
1653386139399752396,1500,1500,1410,1446,1513,1500,1500,1500
1653386139405968814,1500,1500,1410,1446,1513,1500,1500,1500
1653386139431562672,1500,1500,1410,1446,1513,1500,1500,1500
1653386139438022991,1500,1500,1410,1446,1513,1500,1500,1500
1653386139455798454,1500,1500,1410,1446,1513,1500,1500,1500
1653386139465018004,1500,1500,1410,1446,1513,1500,1500,1500
1653386139470070008,1500,1500,1410,1446,1513,1500,1500,1500
1653386139498272564,1500,1500,1410,1446,1513,1500,1500,1500
1653386139503766758,1500,1500,1410,1446,1513,1500,1500,1500
1653386139532033900,1500,1500,1410,1446,1513,1500,1500,1500
1653386139535205162,1500,1500,1410,1446,1513,1500,1500,1500
1653386139538644962,1500,1500,1410,1446,1513,1500,1500,1500
1653386139567200008,1500,1500,1410,1446,1513,1500,1500,1500
1653386139571615608,1500,1500,1409,1446,1513,1500,1500,1500
1653386139599671261,1500,1500,1409,1446,1513,1500,1500,1500
1653386139601327533,1500,1500,1409,1446,1513,1500,1500,1500
1653386139617621383,1500,1500,1409,1446,1513,1500,1500,1500
